date,price_eur_t
2021-01-29,36.02
2021-02-05,38.82
2021-02-12,38.89
2021-02-19,39.06
2021-02-26,38.86
2021-03-05,41.38
2021-03-12,40.76
2021-03-19,41.18
2021-03-26,44.22
2021-04-02,44.37
2021-04-09,45.7
2021-04-16,46.07
2021-04-23,47.34
2021-04-30,46.98
2021-05-07,47.52
2021-05-14,49.74
2021-05-21,49.4
2021-05-28,50.34
2021-06-04,51.37
2021-06-11,52.6
2021-06-18,53.15
2021-06-25,53.17
2021-07-02,54.59
2021-07-09,54.09
2021-07-16,57.13
2021-07-23,56.11
2021-07-30,57.27
2021-08-06,58.95
2021-08-13,59.08
2021-08-20,61.67
2021-08-27,60.16
2021-09-03,62.17
2021-09-10,62.69
2021-09-17,62.54
2021-09-24,64.66
2021-10-01,64.86
2021-10-08,66.76
2021-10-15,67.94
2021-10-22,70.15
2021-10-29,70.63
2021-11-05,70.41
2021-11-12,71.66
2021-11-19,73.87
2021-11-26,74.65
2021-12-03,75.78
2021-12-10,75.12
2021-12-17,77.53
2021-12-24,78.11
2021-12-31,80.06
2022-01-07,83.02
2022-01-14,87.44
2022-01-21,90.58
2022-01-28,94.56
2022-02-04,93.9
2022-02-11,89.48
2022-02-18,85.88
2022-02-25,82.16
2022-03-04,78.44
2022-03-11,75.91
2022-03-18,70.03
2022-03-25,65.27
2022-04-01,61.72
2022-04-08,62.55
2022-04-15,64.23
2022-04-22,63.54
2022-04-29,65.74
2022-05-06,66.74
2022-05-13,67.72
2022-05-20,67.98
2022-05-27,69.19
2022-06-03,69.17
2022-06-10,70.84
2022-06-17,71.72
2022-06-24,73.41
2022-07-01,73.08
2022-07-08,74.32
2022-07-15,74.59
2022-07-22,71.43
2022-07-29,73.12
2022-08-05,73.02
2022-08-12,71.66
2022-08-19,71.55
2022-08-26,71.46
2022-09-02,71.02
2022-09-09,70.71
2022-09-16,69.31
2022-09-23,71.27
2022-09-30,70.91
2022-10-07,70.33
2022-10-14,70.95
2022-10-21,73.68
2022-10-28,73.94
2022-11-04,75.66
2022-11-11,76.43
2022-11-18,78.38
2022-11-25,79.52
2022-12-02,79.53
2022-12-09,80.14
2022-12-16,81.12
2022-12-23,84.02
2022-12-30,83.72
2023-01-06,86.69
2023-01-13,89.56
2023-01-20,92.93
2023-01-27,94.35
2023-02-03,97.88
2023-02-10,97.2
2023-02-17,95.9
2023-02-24,94.63
2023-03-03,94.01
2023-03-10,93.3
2023-03-17,89.82
2023-03-24,92.65
2023-03-31,90.45
2023-04-07,89.21
2023-04-14,89.12
2023-04-21,89.52
2023-04-28,88.72
2023-05-05,86.88
2023-05-12,89.85
2023-05-19,87.8
2023-05-26,88.4
2023-06-02,86.72
2023-06-09,88.2
2023-06-16,86.89
2023-06-23,86.84
2023-06-30,85.21
2023-07-07,86.06
2023-07-14,84.57
2023-07-21,84.0
2023-07-28,81.39
2023-08-04,80.44
2023-08-11,81.6
2023-08-18,77.85
2023-08-25,77.52
2023-09-01,77.47
2023-09-08,75.58
2023-09-15,74.9
2023-09-22,73.05
2023-09-29,72.6
2023-10-06,70.19
2023-10-13,71.5
2023-10-20,69.01
2023-10-27,67.5
2023-11-03,67.51
2023-11-10,65.54
2023-11-17,63.78
2023-11-24,62.71
2023-12-01,63.27
2023-12-08,61.52
2023-12-15,60.48
2023-12-22,60.38
2023-12-29,57.56
2024-01-05,57.59
2024-01-12,58.18
2024-01-19,58.87
2024-01-26,59.07
2024-02-02,59.18
2024-02-09,59.66
2024-02-16,59.94
2024-02-23,59.75
2024-03-01,59.99
2024-03-08,61.16
2024-03-15,60.54
2024-03-22,60.63
2024-03-29,61.62
2024-04-05,62.01
2024-04-12,64.17
2024-04-19,62.03
2024-04-26,63.58
2024-05-03,63.65
2024-05-10,62.33
2024-05-17,64.14
2024-05-24,62.8
2024-05-31,61.85
2024-06-07,64.69
2024-06-14,63.03
2024-06-21,65.03
2024-06-28,64.35
2024-07-05,66.24
2024-07-12,65.62
2024-07-19,64.25
2024-07-26,63.91
2024-08-02,63.33
2024-08-09,63.8
2024-08-16,63.78
2024-08-23,63.56
2024-08-30,63.82
2024-09-06,64.01
2024-09-13,63.67
2024-09-20,62.63
2024-09-27,61.94
2024-10-04,64.25
2024-10-11,62.99
2024-10-18,63.4
2024-10-25,63.89
2024-11-01,63.21
2024-11-08,64.68
2024-11-15,65.06
2024-11-22,66.32
2024-11-29,66.77
2024-12-06,66.59
2024-12-13,67.71
2024-12-20,67.62
2024-12-27,67.72
2025-01-03,68.08
2025-01-10,67.65
2025-01-17,67.33
2025-01-24,67.27
2025-01-31,66.43
2025-02-07,67.4
2025-02-14,66.23
2025-02-21,67.54
2025-02-28,66.51
2025-03-07,66.6
2025-03-14,66.8
2025-03-21,66.76
2025-03-28,64.83
2025-04-04,65.7
2025-04-11,66.26
2025-04-18,63.89
2025-04-25,65.25
2025-05-02,62.83
2025-05-09,63.51
2025-05-16,64.05
2025-05-23,62.39
2025-05-30,62.62
2025-06-06,61.92
2025-06-13,64.11
2025-06-20,62.61
2025-06-27,62.63
2025-07-04,61.89
2025-07-11,61.93
2025-07-18,61.08
2025-07-25,62.29
2025-08-01,62.06
2025-08-08,63.51
2025-08-15,63.89
2025-08-22,64.3
2025-08-29,63.96
2025-09-05,62.96
2025-09-12,62.69
2025-09-19,64.35
2025-09-26,64.18
2025-10-03,62.61
2025-10-10,64.38
2025-10-17,64.83
2025-10-24,64.3
2025-10-31,64.18
2025-11-07,63.76
2025-11-14,63.32
2025-11-21,65.19
2025-11-28,64.38
2025-12-05,64.52
2025-12-12,66.17
2025-12-19,65.41
2025-12-26,65.23
2026-01-02,65.09
2026-01-09,66.04
2026-01-16,66.04
2026-01-23,65.25
2026-01-30,64.82
2026-02-06,62.52
2026-02-13,64.14
2026-02-20,63.78
2026-02-27,63.81
2026-03-06,64.33
2026-03-13,61.23
2026-03-20,62.81
2026-03-27,63.33
2026-04-03,62.63
2026-04-10,61.87
2026-04-17,63.7
2026-04-24,63.22
2026-05-01,62.22
2026-05-08,63.25
2026-05-15,63.66
2026-05-22,63.0
2026-05-29,63.64
